1,1,أحاديث,Hadith,https://th.bing.com/th/id/OIP.nc3hMfxM0qmWrwy_ByfrnQHaEo?w=1600&h=1000&rs=1&pid=ImgDetMain
2,1,آيات,Ayat,https://th.bing.com/th/id/OIP.nc3hMfxM0qmWrwy_ByfrnQHaEo?w=1600&h=1000&rs=1&pid=ImgDetMain
3,1,نصائح,Tips,https://th.bing.com/th/id/OIP.nc3hMfxM0qmWrwy_ByfrnQHaEo?w=1600&h=1000&rs=1&pid=ImgDetMain
4,2,شوق,Longing,https://th.bing.com/th/id/OIP.7ulpPAvco083nFIOkfhyHAHaFS?w=1200&h=857&rs=1&pid=ImgDetMain
5,2,غزل,Romance,https://th.bing.com/th/id/OIP.7ulpPAvco083nFIOkfhyHAHaFS?w=1200&h=857&rs=1&pid=ImgDetMain
6,2,عتاب,Blame,https://th.bing.com/th/id/OIP.7ulpPAvco083nFIOkfhyHAHaFS?w=1200&h=857&rs=1&pid=ImgDetMain
7,2,عشق,Love,https://th.bing.com/th/id/OIP.7ulpPAvco083nFIOkfhyHAHaFS?w=1200&h=857&rs=1&pid=ImgDetMain
8,2,فراق,Separation,https://th.bing.com/th/id/OIP.7ulpPAvco083nFIOkfhyHAHaFS?w=1200&h=857&rs=1&pid=ImgDetMain
9,3,إيجابية,Positivity,https://th.bing.com/th/id/OIP.loG0ZOxDXQckiuvAmwzCuwHaEG?w=830&h=460&rs=1&pid=ImgDetMain
10,4,مباركة,Blessing,https://th.bing.com/th/id/R.98b442f1873541bf7c8fead11f9d06e9?rik=4l1oPMkV%2bWGdAg&riu=http%3a%2f%2fclipart-library.com%2fimages%2fkcKoLdaAi.jpg&ehk=Uf3aGsS8Js1o%2bFGYsBio1u0T1qh7G8mhGhziEp07Q6w%3d&risl=&pid=ImgRaw&r=0
11,5,كن إيجابيًا,Be Positive,https://th.bing.com/th/id/OIP.loG0ZOxDXQckiuvAmwzCuwHaEG?w=830&h=460&rs=1&pid=ImgDetMain
12,6,مبارك,Congratulations,https://th.bing.com/th/id/OIP.loG0ZOxDXQckiuvAmwzCuwHaEG?w=830&h=460&rs=1&pid=ImgDetMain
13,7,زواج,Marriage,https://th.bing.com/th/id/OIP.loG0ZOxDXQckiuvAmwzCuwHaEG?w=830&h=460&rs=1&pid=ImgDetMain
14,7,مولود,Baby,https://th.bing.com/th/id/OIP.loG0ZOxDXQckiuvAmwzCuwHaEG?w=830&h=460&rs=1&pid=ImgDetMain
15,7,عيد الفطر,Eid al-Fitr,https://th.bing.com/th/id/OIP.loG0ZOxDXQckiuvAmwzCuwHaEG?w=830&h=460&rs=1&pid=ImgDetMain
16,7,عيد الأضحى,Eid al-Adha,https://th.bing.com/th/id/OIP.loG0ZOxDXQckiuvAmwzCuwHaEG?w=830&h=460&rs=1&pid=ImgDetMain
17,7,جمعة,Friday,https://th.bing.com/th/id/OIP.loG0ZOxDXQckiuvAmwzCuwHaEG?w=830&h=460&rs=1&pid=ImgDetMain
18,7,نجاح,Success,https://th.bing.com/th/id/OIP.loG0ZOxDXQckiuvAmwzCuwHaEG?w=830&h=460&rs=1&pid=ImgDetMain
19,7,"شراء بيت",Buying a House,https://th.bing.com/th/id/OIP.loG0ZOxDXQckiuvAmwzCuwHaEG?w=830&h=460&rs=1&pid=ImgDetMain
20,7,"شراء سيارة",Buying a Car,https://th.bing.com/th/id/OIP.loG0ZOxDXQckiuvAmwzCuwHaEG?w=830&h=460&rs=1&pid=ImgDetMain
21,8,ثانوي,Secondary,https://th.bing.com/th/id/OIP.nc3hMfxM0qmWrwy_ByfrnQHaEo?w=1600&h=1000&rs=1&pid=ImgDetMain
22,8,جامعة طب,Medical University,https://th.bing.com/th/id/OIP.nc3hMfxM0qmWrwy_ByfrnQHaEo?w=1600&h=1000&rs=1&pid=ImgDetMain
23,8,جامعة تكنولوجيا,Technology University,https://th.bing.com/th/id/OIP.nc3hMfxM0qmWrwy_ByfrnQHaEo?w=1600&h=1000&rs=1&pid=ImgDetMain
